Report ID,Category of Incident,Country of Incident,Date of Incident,Subject,Airport,Full Scientific Name,Common Name,Item / Commodity Type,Count,Quantity - Weight,Unit of Weight,Estimated Value,Currency,Value in USD
MOR13309,1. Seizure,Italy,10/12/2017 0:00,1119 bodies of small birds seized at Orio al Serio Airport,Orio al Serio Airport,Anthus pratensis,Meadow pipit,Individual - Dead,,,,,,
MOR13309,1. Seizure,Italy,10/12/2017 0:00,1119 bodies of small birds seized at Orio al Serio Airport,Orio al Serio Airport,Emberiza citrinella,Yellowhammer,Individual - Dead,,,,,,
MOR13309,1. Seizure,Italy,10/12/2017 0:00,1119 bodies of small birds seized at Orio al Serio Airport,Orio al Serio Airport,Emberiza calandra,Corn Bunting,Individual - Dead,,,,,,
MOR13309,1. Seizure,Italy,10/12/2017 0:00,1119 bodies of small birds seized at Orio al Serio Airport,Orio al Serio Airport,Porzana porzana,Spotted Crake,Individual - Dead,,,,,,
MOR13313,1. Seizure,Brazil,11/24/2017 0:00,47 ornamental fish and 6 stingray's seized at Manaus International Airport,Manaus International Airport,Myliobatiformes-Myliobatoidei,Stingrays,Individual - Live,6,,,,,
MOR13324,1. Seizure,Azerbaijan,1/1/2018 0:00,"1 falcon seized at Heydar Aliyev Airport, a citizen of Qatar arrested",Heydar Aliyev Airport,Falconidae,"Falcons, Halcones, Faucons",Individual - Live,1,,,,,
MOR13328,1. Seizure,Portugal,2/27/2018 0:00,"50kg of baby eels seized at Faro Airport, three Chinese men arrested",Faro Airport,Anguilla anguilla,"Common eel, Eel, European eel, River eel, Silver eel, Sing eel, Weed eel, Yellow eel, Anguila, Anguila europea, Anguilla, Anguilla catarrojina, Anguilla fartona, Anguilla maresa, Anguilla martina, Anguilla pastorenca, Anguilla pugaron, Angèle, Anguielo",Fingerlings/fry,,50,Kilograms,10000,EUR Euro,12289.40039
MOR13350,1. Seizure,Mexico,12/1/2017 0:00,"3 tonnes of cooked sea cucumbers seized at the International Airport in Merida, Yucatan",the International Airport,Isostichopus badionotus,"Chocolate Chip Cucumber, Three-rowed Cucumber",Individual - Dead,,3,Tonnes,,,
MOR13375,1. Seizure,Mexico,12/1/2017 0:00,52 Totoaba fish cut into 104 fillets seized at Tijuana International Airport,Tijuana International Airport,Totoaba macdonaldi,"MacDonald's Weakfish, Totoaba, Totoba, Acoupa De Macdonald",Individual - Dead,52,,,,,
MOR13397,1. Seizure,Madagascar,12/17/2017 0:00,"4 Angulated tortoises and 9 radiated tortoises seized at Ivato International Airport, four Chinese nationals arrested",Ivato International Airport,Astrochelys yniphora,"Angonoka, Madagascar Angulated Tortoise, Madagascar Tortoise, Tortuga de espolones, Tortuga de Madagascar, Tortuga globulosa malagache, Tortue à éperon, Tortue à plastron éperonné, Tortue à soc, Tortue à soc de Madagascar, Tortue de Madagascar",Individual - Live,4,,,,,
MOR13397,1. Seizure,Madagascar,12/17/2017 0:00,"4 Angulated tortoises and 9 radiated tortoises seized at Ivato International Airport, four Chinese nationals arrested",Ivato International Airport,Astrochelys radiata,"Radiated Tortoise, Tortuga estrellada de Madagascar, Tortuga rayada, Tortue radiée de Madagascar, Tortue rayonnée",Individual - Live,9,,,,,
MOR13442,1. Seizure,Cameroon,4/6/2018 0:00,"1 tonne pangolin scales & 100's tusks seized at Douala Airport, 3 arrested",Douala Airport,Elephantidae,Elephants,Tusk,200,,,,,
MOR13446,1. Seizure,China,3/26/2018 0:00,"18 ivory products (1.725 kg) seized at Chengdu Shuangliu Airport, one suspect",Chengdu Shuangliu Airport,Elephantidae,Elephants,Ivory - Worked,18,1.725000024,Kilograms,,,
MOR13450,1. Seizure,Mozambique,4/15/2018 0:00,4.2kg carved rhino horn seized from Chinese passenger at Maputo Airport,Maputo Airport,Rhinocerotidae,"Rhinoceroses, Rinocerontes, Rhinocéros",Horn Pieces - Raw,,4.199999809,Kilograms,,,
MOR13728,1. Seizure,Madagascar,4/3/2018 0:00,"26 baby Radiated tortoises seized at Ivato International Airport, one suspect fled the scene",Ivato International Airport,Astrochelys radiata,"Radiated Tortoise, Tortuga estrellada de Madagascar, Tortuga rayada, Tortue radiée de Madagascar, Tortue rayonnée",Individual - Live,26,,,,,
MOR13803,1. Seizure,Turkey,10/12/2017 0:00,99 snake skins and three alligator skins seized at Istanbul Airport,Istanbul Airport,Crocodylidae,"Cocodrilos, Crocodiles",Skin,3,,,,,
MOR13891,1. Seizure,Mexico,4/22/2018 0:00,"417 swim bladders sourced from Totoaba fish seized at Mexico City Airport in two seperate incidents, two people arrested",Mexico City Airport,Totoaba macdonaldi,"MacDonald's Weakfish, Totoaba, Totoba, Acoupa De Macdonald",Body parts NES,417,,,,,
MOR13988,1. Seizure,Mexico,1/1/2018 0:00,114kg of sea cucumbers seized at Tijuana International Airport,Tijuana International Airport,Holothuroidea,Sea Cucumber,Individual - Dead,,114,Kilograms,,,
